;;;;;;;;;
;RRU Number;RRU Type;KRC;Serial;Connector1;Connector2;Connector3;Connector4;
1;9;RRU2217B20;KRC 161 549/1 R1H;D16X510043;9/1;9/2;none;none;
2;29;RRU2212B1;KRC 161 624/1 R1E;B440644973;29/1;29/2;none;none;
3;31;RRUS 12 B8;KRC 161 262/2 R1B;C826187555;31/1;31/2;none;none;
4;37;Radio 2260 22B1 22B3 C;KRC 161 828/1 R1D;E23B514253;37/1;37/2;none;none;
5;18;Radio 2217 B20;KRC 161 549/1 R1G;D16T260229;18/1;18/2;none;none;
6;16;Radio 2217 B20;KRC 161 549/1 R1G;D16T264546;16/1;16/2;none;none;
7;25;Radio 2217 B3;KRC 161 427/1 R1C/A;D16T253569;25/1;25/2;none;none;
8;48;Radio 4443 B1 B3;KRC 161 753/1 R1F;E23B185536;48/1;48/2;none;none;
9;4;Radio 2242 B1 B3;KRC 161 726/1 R1B;D826969765;4/1;4/1;none;none;
10;80;RRUS 12 B3;KRC 161 282/2 R1E;D164152873;80/1;80/1;none;none;
11;43;Radio 4415 B7; KRC 161 495/1 R1B/A;D16X159629;43/1;43/2;43/4;43/4;
12;53;Radio 2479 24B8 24B20 24B28B M01;KRC 161 832/1 R1B;D829632124;53/1;53/2;none;none;
13;21;Radio 2219 B8;KRC 161 670/1 R1A;D825732333;21/1;21/2;none;none;
14;24;Radio 2217 B3;KRC 161 427/1 R1C/A;D16T259715;24/1;24/2;none;none;
15;14;Radio 2212 B1;KRC 161 624/1 R1E;B440976156;14/1;14/2;none;none;
16;2;Radio 2212 B8;KRC 161 650/1 R2D;B440718495;2/1;2/2;none;none;
17;3;Radio 2242 B1 B3;KRC 161 726/1 R1B;D826972754;3/1;3/2;none;none;
18;1;Radio 2468 B8;KRC 161 728/1 R1A;D826969714;1/1;1/2;none;none;
19;79;RRUS 12 B3;KRC 161 282/2 R1K;D16N465918;79/1;79/2;none;none;
20;51;Radio 2203 B1;KRC 161 487/1 R2C;C82A388292;51/1;51/2;none;none;
21;82;RRUS 01 B3;KRC 118 73/1 R2A;CC46526866;82/1;82/2;none;none;
22;45;Radio 2217 B7;KRC 161 428/1 R1E;D16U203415;45/1;45/2;none;none;
23;41;Radio 2238 B8 B20 B28B;KRC 161 797/1 R1D;D829072161;41/1;41/2;none;none;
24;62;Radio 4415 B3;KRC 161 637/1 R5K/A;E550556067;62/1;62/2;62/3;62/4;
25;20;Radio 2212 B8;KRC 161 650/1 R2D;B440666620;20/1;21/2;none;none;
26;15;Radio 2012 B32A;KRC 161 604/1 R2B;D16X012034;15/1;15/2;none;none;
27;5;Radio 4415 B3;KRC 161 637/1 R1C;D16X197021;5/1;5/2;5/3;5/4;
28;7;Radio 2217 B7;KRC 161 428/1 R2B;D16X464589;7/1;7/2;none;none;
29;17;Radio 2217 B20;KRC 161 549/1 R1F;D823093396;17/1;17/2;none;none;
30;10;Radio 2212 B8;KRC 161 650/1 R2D;B440666624;10/1;10/2;none;none;
31;59;Radio 2212 B8;KRC 161 650/1 R5E;D828046966;59/1;59/2;none;none;
32;33;RRUS 11 B20;KRC 118 91/2 R1C;D169090094;33/1;33/2;none;none;
33;11;Radio 2217 B7;KRC 161 428/1 R2B;D16X384974;11/1;11/2;none;none;
34;49;Radio 4408 B43;KRC 161 768/2 R1C;D82A682615;49/1;49/2;none;none;
35;84;?;;;;;;;
36;87;?;;;;;;;
37;64;Radio 4422 B78C;KRC 161 803/2 R1C;D828997142;64/1;64/2;64/3;64/4;
38;34;Radio 4422 B78C;KRC 161 803/2 R1C;D828997136;34/1;34/2;none;none;
39;8;Radio 2217 B20;KRC 161 549/1 R1H;D16X510016;8/1;8/2;none;none;
40;22;Radio 2217 B3;KRC 161 427/1 R1C/A;D16T259708;22/1;22/2;none;none;
41;61;Radio 4415 B3;KRC 161 637/1 R5K/A;E550556056;61/1;62/2;62/3;62/4;
42;57;Radio 2242 B1 B3;KRC 161 726/1 R2D;E551630034;57/1;57/2;none;none;
43;30;Radio 2219 B1;KRC 161 622/1 R1B;D825219550;30/1;30/2;none;none;
44;38;Radio 4408 B43;KRC 161 768/2 R1C;D82A659481;38/1;38/2;39/1;39/2;Közös
45;39;Radio 4408 B43;KRC 161 768/2 R1C;D82A659481;39/1;39/2;38/1;38/2;Közös
46;58; Radio 2212 B8;KRC 161 650/1 R5E;D828046958;58/1;58/2;none;none;1
47;42;Radio 2217 B3;KRC 161 427/1 R1D;D16X452044;42/1;42/2;none;none;
